Pizzo Rosso;it;755742.384;138546.183;3051.565;r
Passo dei Rossi;it;755343.01;145381.074;2515.714;r
Cima dei Rossi;it;755284.02;146112.079;2726.482;r
Punta Rossa;it;747788.539;152678.387;3020.917;r
Piz de Val Rossa;it;738049.69;148380.137;2872.012;r
Val Rossa;it;737902.207;149104.481;2653.305;r
Cima di Gana Rossa;it;735781.84;116648.38;2212.966;r
Gagna Rossa;it;735513.1;124729;1465.773;r
Fil Rossa;it;731073.1;140941.7;1961.82;r
Costa del Rossa;it;730514.2;140949.7;1512.355;r
Costa della Rossa;it;730188.2;138228.9;1416.455;r
Rossa;it;729835.951;137135.126;1080.777;r
Gagna Rossa;it;729181.8;141508.6;1892.48;r
Filo di Rosso;it;726881.309;144244.692;2891.039;r
Cima Rossa;it;726663.823;144930.767;3161.63;r
Torrone Rosso;it;725161.111;129026.05;2670.387;r
Alpe Pietrarossa;it;724640.491;107929.717;1552.884;r
Torrone Rosso;it;723927.666;128826.936;2429.458;r
Rossa;it;723908.101;80955.677;600.873;r
Alpe Rosso;it;722481.172;127766.796;1465.589;r
Sasso Rosso;it;721689.114;97968.372;1295.076;r
Sasso Rosso;it;720540.949;91376.27;946.761;r
Gana Rossa;it;720393.4;145920.2;2412.485;r
Pian la Rossa;it;720266.562;124272.679;405.321;r
Gane di Terra Rossa;it;720227.779;147313.045;2494.439;r
Cima di Gana Rossa;it;719815.031;146140.535;2786.589;r
Tecc del Rosso;it;719430.2;125972.5;269.771;r
Acquarossa;it;715091.974;146095.756;563.297;r
Poncione Rosso;it;713479.532;128602.21;2506.234;r
Gana Grossa;it;712956.9;106461.1;1331.974;r
Gana Rossa;it;712953.809;131010.904;1959.11;r
Gana Rossa;it;711524.8;109912.5;1055.414;r
Gana Rossa;it;711207.4;129708.2;2326.242;r
Cima del Rosso;it;708977.131;130930.269;2444.459;r
Cima di Gana Rossa;it;707369.911;152138.549;2565.221;r
Gana Rossa;it;706726.7;153288.9;2087.361;r
Costa di Gana Rossa;it;706060.2;153413.1;2328.486;r
Bocchetta Gana Rossa;it;705654.727;152840.742;2535.796;r
Passo delle Rosse;it;703824.323;144639.191;2226.03;r
Piee del Rosso;it;703426.295;130177.626;1687.813;r
Sasso Rosso;it;702003.497;142045.712;2401.515;r
Sasso Rosso;it;701057.712;131527.324;2449.406;r
Bola Rossa;it;700983.788;141821.201;2395.96;r
Gann da Pioda Rossa;it;699516.491;142236.839;2661.682;r
Sasso Rosso;it;697414.1;141719.4;2108.307;r
Gana Rossa;it;695420.4;149253.7;2062.217;r
Pian Rosso;it;694975.1;122178.9;1438.95;r
La Rossa;it;694294.276;159182.905;2791.106;r
Val Ross;it;692099.865;125463.862;1290.963;r
Gane Rosse;it;690743.6;148885.7;1691.744;r
Pizzo Rosso;it;689882.837;137871.06;2498.071;r
Pizzo della Rossa;it;687276.284;141282.956;2578.176;r
